IP,Name,New_Server,Old_ACL,Updated,Site
192.168.99.231,,150,,,SCH
192.168.99.230,,150,,,SCH
192.168.99.229,,150,,,SCH
192.168.99.228,,150,,,SCH
192.168.99.227,,150,,,SCH
192.168.99.226,,150,,,SCH
192.168.99.225,,150,,,SCH
192.168.99.224,,150,,,SCH
192.168.99.223,,150,,,SCH
192.168.99.222,,150,,,SCH
192.168.99.221,,150,,,SCH
192.168.99.220,,150,,,SCH
192.168.99.219,,150,,,SCH
192.168.99.218,,150,,,SCH
192.168.99.217,,150,,,SCH
192.168.99.216,,150,,,SCH
192.168.99.215,,150,,,SCH
192.168.99.214,,150,,,SCH
192.168.99.213,,150,,,SCH
192.168.99.212,,150,,,SCH
192.168.99.211,,150,,,SCH
192.168.99.210,,150,,,SCH
192.168.99.209,,150,,,SCH
192.168.99.208,,150,,,SCH
192.168.99.207,,150,,,SCH
192.168.99.206,,150,,,SCH
192.168.99.205,,150,,,SCH
192.168.99.204,,150,,,SCH
192.168.99.203,,150,,,SCH
192.168.99.202,,150,,,SCH
192.168.99.201,,150,,,SCH
192.168.99.200,,150,,,SCH
192.168.99.199,,150,,,SCH
192.168.99.198,,150,,,SCH
192.168.99.197,,150,,,SCH
192.168.99.196,,150,,,SCH
192.168.99.195,,150,,,SCH
192.168.99.194,,150,,,SCH
192.168.99.193,,150,,,SCH
192.168.99.192,,150,,,SCH
192.168.99.191,,150,,,SCH
192.168.99.190,,150,,,SCH
192.168.99.189,,150,,,SCH
192.168.99.188,,150,,,SCH
192.168.99.187,,150,,,SCH
192.168.99.186,,150,,,SCH
192.168.99.185,,150,,,SCH
192.168.99.184,,150,,,SCH
192.168.99.183,,150,,,SCH
192.168.99.182,,150,,,SCH
192.168.99.181,,150,,,SCH
192.168.99.180,,150,,,SCH
192.168.99.179,,150,,,SCH
192.168.99.178,,150,,,SCH
192.168.99.177,,150,,,SCH
192.168.99.176,,150,,,SCH
192.168.99.175,,150,,,SCH
192.168.99.174,,150,,,SCH
192.168.99.173,,150,,,SCH
192.168.99.172,,150,,,SCH
192.168.99.171,,150,,,SCH
192.168.99.170,,150,,,SCH
192.168.99.169,,150,,,SCH
192.168.99.168,,150,,,SCH
192.168.99.167,,150,,,SCH
192.168.99.166,,150,,,SCH
192.168.99.165,,150,,,SCH
192.168.99.164,,150,,,SCH
192.168.99.163,,150,,,SCH
192.168.99.162,,150,,,SCH
192.168.99.161,,150,,,SCH
192.168.99.160,,150,,,SCH
192.168.99.159,,150,,,SCH
192.168.99.158,,150,,,SCH
192.168.99.157,,150,,,SCH
192.168.99.156,,150,,,SCH
192.168.99.155,,150,,,SCH
192.168.99.154,,150,,,SCH
192.168.99.153,,150,,,SCH
192.168.99.152,,150,,,SCH
192.168.99.151,,150,,,SCH
192.168.99.150,,150,,,SCH
192.168.99.149,,150,,,SCH
192.168.99.148,,150,,,SCH
192.168.99.147,,150,,,SCH
192.168.99.146,,150,,,SCH
192.168.99.145,,150,,,SCH
192.168.99.144,,150,,,SCH
192.168.99.143,,150,,,SCH
192.168.99.142,,150,,,SCH
192.168.99.141,,150,,,SCH
192.168.99.140,,150,,,SCH
192.168.99.139,,150,,,SCH
192.168.99.138,,150,,,SCH
192.168.99.137,,150,,,SCH
192.168.99.136,,150,,,SCH
192.168.99.135,,150,,,SCH
192.168.99.134,,150,,,SCH
192.168.99.133,,150,,,SCH
192.168.99.132,,150,,,SCH
192.168.99.131,,150,,,SCH
192.168.99.130,,150,,,SCH
192.168.99.129,,150,,,SCH
192.168.99.128,,150,,,SCH
192.168.99.127,,150,,,SCH
192.168.99.126,,150,,,SCH
192.168.99.125,,150,,,SCH
192.168.99.124,,150,,,SCH
192.168.99.123,,150,,,SCH
192.168.99.122,,150,,,SCH
192.168.99.121,,150,,,SCH
192.168.99.120,,150,,,SCH
192.168.99.119,,150,,,SCH
192.168.99.118,,150,,,SCH
192.168.99.117,,150,,,SCH
192.168.99.116,,150,,,SCH
192.168.99.115,,150,,,SCH
192.168.99.114,,150,,,SCH
192.168.99.113,,150,,,SCH
192.168.99.112,,150,,,SCH
192.168.99.111,,150,,,SCH
192.168.99.110,,150,,,SCH
192.168.99.109,,150,,,SCH
192.168.99.108,,150,,,SCH
192.168.99.107,,150,,,SCH
192.168.99.106,,150,,,SCH
192.168.99.105,,150,,,SCH
192.168.99.104,,150,,,SCH
192.168.99.103,,150,,,SCH
192.168.99.102,,150,,,SCH
192.168.99.101,,150,,,SCH
192.168.99.100,,150,,,SCH
192.168.99.99,,150,,,SCH
192.168.99.98,,150,,,SCH
192.168.99.97,,150,,,SCH
192.168.99.96,,150,,,SCH
192.168.99.95,,150,,,SCH
192.168.99.94,,150,,,SCH
192.168.99.93,,150,,,SCH
192.168.99.92,,150,,,SCH
192.168.99.91,,150,,,SCH
192.168.99.90,,150,,,SCH
192.168.99.89,,150,,,SCH
192.168.99.88,,150,,,SCH
192.168.99.87,,150,,,SCH
192.168.99.86,,150,,,SCH
192.168.99.85,,150,,,SCH
192.168.99.84,,150,,,SCH
192.168.99.83,,150,,,SCH
192.168.99.82,,150,,,SCH
192.168.99.81,,150,,,SCH
192.168.99.80,,150,,,SCH
192.168.99.79,,150,,,SCH
192.168.99.78,,150,,,SCH
192.168.99.77,,150,,,SCH
192.168.99.76,,150,,,SCH
192.168.99.75,,150,,,SCH
192.168.99.74,,150,,,SCH
192.168.99.73,,150,,,SCH
192.168.99.72,,150,,,SCH
192.168.99.71,,150,,,SCH
192.168.99.70,,150,,,SCH
192.168.99.69,,150,,,SCH
192.168.99.68,,150,,,SCH
192.168.99.67,,150,,,SCH
192.168.99.66,,150,,,SCH
192.168.99.65,,150,,,SCH
192.168.99.64,,150,,,SCH
192.168.99.63,,150,,,SCH
192.168.99.62,,150,,,SCH
192.168.99.61,,150,,,SCH
192.168.99.60,,150,,,SCH
192.168.99.59,,150,,,SCH
192.168.99.58,,150,,,SCH
192.168.99.57,,150,,,SCH
192.168.99.56,,150,,,SCH
192.168.99.55,,150,,,SCH
192.168.99.54,,150,,,SCH
192.168.99.53,,150,,,SCH
192.168.99.52,,150,,,SCH
